model_name,training_strategy,dataset_split,auc,average_precision,precision,recall,f1,logloss,positive_prediction_ratio
xgboost,baseline,test,0.867193953267386,0.026722475492373,0.0,0.0,0.0,0.0118628263300553,3.030872466948336e-06
random_forest,baseline,test,0.8313330089951831,0.0257771505812591,0.0,0.0,0.0,0.0129348323440799,0.0
lightgbm,baseline,test,0.6742575231504759,0.013209098470985,0.0198216055500495,0.0649350649350649,0.0303720577069096,0.1801332476131308,0.0061163006383017
logistic_regression,baseline,test,0.6085874006824096,0.0065223717206167,0.0,0.0,0.0,0.016668747555226,0.0002939946292939
logistic_regression,class_weight,test,0.8310238535536648,0.0094378725963089,0.012190326386158,0.1006493506493506,0.0217467555243774,0.1333433823980297,0.0154150173668992
xgboost,class_weight,test,0.7508296216539971,0.0066711238620394,0.0110739119237702,0.1396103896103896,0.0205201622524457,0.1306301292661445,0.0235377555783207
random_forest,class_weight,test,0.7149289928374685,0.004692550418998,0.0,0.0,0.0,0.1363953913618334,0.0
lightgbm,class_weight,test,0.5569112449213839,0.0021093612085027,0.0021331204015285,0.9107142857142856,0.0042562715516423,27.47867392866449,0.7971043044450775
logistic_regression,smote,test,0.8308333056298194,0.0092527129942637,0.0067815767165866,0.0389610389610389,0.0115523465703971,0.0748495566314212,0.0107262576605301
lightgbm,smote,test,0.7150668892964428,0.0043371555116926,0.0058575445173383,0.0811688311688311,0.0109265734265734,0.1658767523881595,0.0258715273778709
xgboost,smote,test,0.4763359886510633,0.0016598591493307,0.0019970610626206,0.9155844155844156,0.0039854291579367,2.2245151412517266,0.8559638477532142
random_forest,smote,test,0.3396033015529663,0.0012655359426509,0.0014075434787794,0.5746753246753247,0.0028082088545839,0.9557144771996596,0.7622704871824404
lightgbm,undersampled,test,0.8637107120792921,0.0178872715372351,0.0030586776299677,0.952922077922078,0.0060977826717014,1.4449707203980158,0.5816638277494559
xgboost,undersampled,test,0.8545637832297241,0.014895939305996,0.0030774810524238,0.9366883116883116,0.0061348062538874,1.1421590122998495,0.5682613097006104
random_forest,undersampled,test,0.8501828003058942,0.0107362218132849,0.0036408399333055,0.9074675324675324,0.0072525818672479,0.741439992342412,0.4653480350853797
logistic_regression,undersampled,test,0.8351315501853197,0.0097670442726607,0.0139120756816917,0.2029220779220779,0.0260389542755962,0.1596442503585301,0.0272323891155307
xgboost,baseline,validation,0.8886653681132858,0.0191211562146624,0.0,0.0,0.0,0.0053532475620694,0.0
random_forest,baseline,validation,0.8581638999833403,0.0200177760023935,0.0,0.0,0.0,0.0062861626696901,0.0
lightgbm,baseline,validation,0.6955777742262147,0.0060168823232704,0.0024096385542168,0.0124153498871331,0.0040359567051917,0.0937963322194525,0.0041121273074979
logistic_regression,baseline,validation,0.6903690135279719,0.0041222272209068,0.018018018018018,0.0022573363431151,0.0040120361083249,0.0078334647149855,9.998819959085908e-05
logistic_regression,class_weight,validation,0.8564136063018969,0.0049783693100818,0.0044701215572551,0.6715575620767494,0.0088811272314765,0.4193601768799126,0.1199011648174855
xgboost,class_weight,validation,0.8496019489676478,0.0103536741619469,0.0092968635318295,0.4288939051918736,0.018199233716475,0.1301251960394888,0.0368190781087997
random_forest,class_weight,validation,0.8488006530218066,0.007725581936227,0.0112565445026178,0.0485327313769751,0.0182745431364215,0.1358927625627072,0.003441035337271
lightgbm,class_weight,validation,0.7145328426722477,0.0015744570293069,0.0018036785549475,0.7720090293453724,0.0035989487281346,11.78381329838674,0.3416038287373292
logistic_regression,smote,validation,0.8546360148551208,0.0048573481167539,0.0061664808726205,0.4932279909706546,0.0121806753724582,0.2774881912215508,0.0638366102739226
lightgbm,smote,validation,0.806462406094105,0.0081510968542333,0.0052198693621883,0.417607223476298,0.0103108584486338,0.2014239804840639,0.0638510229873771
random_forest,smote,validation,0.6717008534682758,0.005671937978174,0.0009981476996786,0.6884875846501128,0.0019934054227163,0.6792030516877775,0.5505043999311793
xgboost,smote,validation,0.6400459331605445,0.0026502328682379,0.0010362390531677,0.7979683972911964,0.0020697902836959,1.3385556010756057,0.6145896295121928
lightgbm,undersampled,validation,0.8928691959929997,0.0165016579906913,0.0021718962574684,0.9063205417607224,0.0043334079852351,0.8747704338493609,0.3330444785345153
xgboost,undersampled,validation,0.8928658336303361,0.0128725674300377,0.0021333656810288,0.9130925507900676,0.0042567857321382,0.791246425329077,0.3415930192022383
random_forest,undersampled,validation,0.8851788880214388,0.0129928500698586,0.0019669716790673,0.8984198645598194,0.0039253493240361,0.6629539665134109,0.3645362574326813
logistic_regression,undersampled,validation,0.8318291796241087,0.0033274612534158,0.0020753516646638,0.8284424379232506,0.0041403312829104,0.6744006990775815,0.3185885269396134
